,0
779,-0.012816313787472562
780,-0.013487248251193483
781,-0.015120947306901588
782,-0.01674716499342576
783,-0.012429387555061728
784,-0.009396790980578853
785,-0.016512488394743553
786,-0.019535369559561585
787,-0.01633482777313443
788,-0.01390828879779409
789,-0.012987893964262873
790,-0.015144245715666811
791,-0.00953449719828775
792,-0.007827622515992604
793,-0.013441787323894954
794,-0.010236685470310238
795,-0.009600403619055889
796,-0.0063492185483564325
797,-0.00821400093390621
798,-0.007222986474800805
799,-0.012815760533786746
800,-0.01582187326246421
801,-0.012966707553448576
802,-0.0093956695201825
803,-0.013714104877398678
804,-0.01070844126224005
805,-0.010236059554576694
806,-0.006330425651465732
807,-0.007376780997222461
808,-0.013287177111641388
809,-0.009905862314634056
810,-0.012068129366857756
811,-0.014167581233338361
812,-0.006253658038564293
813,-0.006690722208939477
814,-0.011959023926833654
815,-0.006804157125877375
816,-0.007518497090229691
817,-0.00900012372382183
818,-0.016859522131262728
819,-0.017891742736601112
820,-0.016676306990029838
821,-0.016029257695562484
822,-0.011288531629274913
823,-0.007925162029637781
824,-0.007198433762615572
825,-0.012798545371353243
826,-0.015658661404138633
827,-0.01000502444048022
828,-0.013704744020893663
829,-0.014143851810023304
830,-0.014774921389336053
831,-0.007532194302203362
832,-0.006335178188052277
833,-0.008540226164011403
834,-0.013758125588890132
835,-0.012349512443464546
836,-0.01546731168900359
837,-0.008027342931247058
838,-0.006166999617164418
839,-0.007218149337447539
840,-0.008998599888013792
841,-0.007514149320743225
842,-0.012118677670698842
843,-0.009106488336486526
844,-0.011760625663377038
845,-0.011894880218272277
846,-0.008106905709876024
847,-0.007171659889284985
848,-0.008668284208316356
849,-0.013898562196931776
850,-0.01659202372365667
851,-0.011785439040827954
852,-0.013321855431031909
853,-0.015131064684906718
854,-0.012637332989692643
855,-0.015953480619443364
856,-0.015733713317829422
857,-0.016531313800094254
858,-0.01324199183207008
859,-0.013292384557001411
860,-0.0061013052644155125
861,-0.00672923921081492
862,-0.015432184807462808
863,-0.018285118307579444
864,-0.018329957661241857
865,-0.01012428114227013
866,-0.011882119570030776
867,-0.015013357393856524
868,-0.013991096429764784
869,-0.01020604335987787
870,-0.007157386066017278
871,-0.007223317267418589
872,-0.01099184900323013
873,-0.00716874413462203
874,-0.009325258195966028
875,-0.007993522865758905
876,-0.007518628607937028
877,-0.012781505504908064
878,-0.010559941876914301
879,-0.015327851826145829
880,-0.011157354266334244
881,-0.012678839777900483
882,-0.008246269695607045
883,-0.014047047494768681
884,-0.015449792809018259
885,-0.016068678049027497
886,-0.012293342625546657
887,-0.014171502904038938
888,-0.01775142749289527
889,-0.013109326015813239
890,-0.010541215135389496
891,-0.015360034719081069
892,-0.018563464562165656
893,-0.016681643344399467
894,-0.018512643257346872
895,-0.020130065570967498
896,-0.017494313454071167
897,-0.016386312264632896
898,-0.016736282075036035
899,-0.012639217652716502
900,-0.011226039208502852
901,-0.012900438289234276
902,-0.014687581590858869
903,-0.015136925950259651
904,-0.008408917538500245
905,-0.008840477746917586
906,-0.01624984557369749
907,-0.015291603759289236
908,-0.011364316911774391
909,-0.010270370676175616
910,-0.006850971778509364
911,-0.007248033389225692
912,-0.011024564807082067
913,-0.012444084866553127
914,-0.018468120715202607
915,-0.018513306853423277
916,-0.010775042320916911
917,-0.01369463221588522
918,-0.01579972572759789
919,-0.01183462534395777
920,-0.015980887448837112
921,-0.011018490093305402
922,-0.011411410355042746
923,-0.011424780207568604
924,-0.015209741513497122
925,-0.011190778458663547
926,-0.011082257835923768
927,-0.008617799425870742
928,-0.009661437559518933
929,-0.015077447739967186
930,-0.016622098528553394
931,-0.014456943781729818
932,-0.014469243239556092
933,-0.009399158015097612
934,-0.012267169257802513
935,-0.01634684673608118
936,-0.015930088157414205
937,-0.017393493186654146
938,-0.01604043411333448
939,-0.010021410248027402
940,-0.01324053009631891
941,-0.01829880203140943
942,-0.01869935351414514
943,-0.01869046030632042
944,-0.01800461793572397
945,-0.011445997171617235
946,-0.008454300708973983
947,-0.012788168393356072
948,-0.014381040916764383
949,-0.014005775224644357
950,-0.01566568363266913
951,-0.020232707898608655
952,-0.019012236427852727
953,-0.014924415291498055
954,-0.018245141059857195
955,-0.01804894474209298
956,-0.013945559931756411
957,-0.011226678122466497
958,-0.00865443905153684
959,-0.009865590097109184
960,-0.01546005472894572
961,-0.021239871307199162
962,-0.022600900528089638
963,-0.020415836143119457
964,-0.019282381865777878
965,-0.01884377549283028
966,-0.017530647586445156
967,-0.014300184302709597
968,-0.016156993414054372
969,-0.01598070919234211
970,-0.013694438568837035
971,-0.012882471729428272
972,-0.011278840489487078
973,-0.01672065013330632
974,-0.01648286956541862
975,-0.020064382635407687
976,-0.02264201438418574
977,-0.021277200596111524
978,-0.021448740927415888
979,-0.020476765180389433
980,-0.01277174057946337
981,-0.013045587038637776
982,-0.010957606944921457
983,-0.006562293725706624
984,-0.005165004587188269
985,-0.006836499532231506
986,-0.009611726386950403
987,-0.008241645341427274
988,-0.005269084389255674
989,-0.006960712677748081
990,-0.009230451754519904
991,-0.010648445941633312
992,-0.013747536831991576
993,-0.013033954409090142
994,-0.012044411255526945
995,-0.013073294902783123
996,-0.01715398718770138
997,-0.01134622379182655
998,-0.011740623676539682
999,-0.009114387860955852
1000,-0.009177859329408932
1001,-0.013287874833813426
1002,-0.014693345616269067
1003,-0.011867139338060833
1004,-0.018474056502389806
1005,-0.021661454473336852
1006,-0.02025744356194879
1007,-0.012377921102296298
1008,-0.009060281010635664
1009,-0.005553615089839061
1010,-0.007271717165936669
1011,-0.012188707709393747
1012,-0.008164436603430043
1013,-0.010010808042194761
1014,-0.01261497413206927
1015,-0.014529136981867401
1016,-0.015278874200856149
1017,-0.008704122602813757
1018,-0.006848450533085906
1019,-0.007573843253294634
1020,-0.004946665727773338
1021,-0.004496421951224178
1022,-0.00894496230351904
1023,-0.013468174948401405
1024,-0.014001715768646592
1025,-0.009854692662414349
1026,-0.009090932611211685
1027,-0.006666929676875753
1028,-0.008530375413745723
1029,-0.01211836118185812
1030,-0.009769422665678559
1031,-0.014705414145146613
1032,-0.01215282585856758
1033,-0.006760322755059582
1034,-0.007344287248155006
1035,-0.014579986137528943
1036,-0.015104349790182083
1037,-0.015417154319156832
1038,-0.015257163930523418
1039,-0.015751756716058146
1040,-0.01527464554195924
1041,-0.013958699532947655
1042,-0.00856114037839215
1043,-0.011449578655951085
1044,-0.016166306897965207
1045,-0.01100763010102613
1046,-0.01238583616032706
1047,-0.015503515313539688
1048,-0.016767787075905052
1049,-0.011483000445927276
1050,-0.010566368764720849
1051,-0.006976082249381592
1052,-0.006223897737064731
1053,-0.012484987703914327
1054,-0.01532680009067314
1055,-0.012967993701598228
1056,-0.008241743147481726
1057,-0.01244401236256974
1058,-0.015652753491196096
1059,-0.008213799655694794
1060,-0.005842039157928199
1061,-0.005576234121607946
1062,-0.008242749144176687
1063,-0.015253040187253156
1064,-0.018090429416779852
1065,-0.018004050914270753
1066,-0.011442136993415024
1067,-0.010908609810052414
1068,-0.01403205627972808
1069,-0.011702911645185164
1070,-0.016795734717849762
1071,-0.014914596395393973
1072,-0.013788522844031363
1073,-0.01086401335524665
1074,-0.005840891103347641
1075,-0.006243785067365651
1076,-0.011859621627825986
1077,-0.012230845228262188
1078,-0.011357577810511292
1079,-0.0058011723454737835
1080,-0.006059634019376811
1081,-0.012819602426572261
1082,-0.015326162560241365
1083,-0.011989492182545901
1084,-0.017285082079462343
1085,-0.01524076743038536
1086,-0.010009632699972782
1087,-0.006639189749451305
1088,-0.008840747701959126
1089,-0.0124618734275433
1090,-0.009920807769866993
1091,-0.009111300104342648
1092,-0.0076706615671980685
1093,-0.012127680545670757
1094,-0.012547270929814648
1095,-0.014961736371557677
1096,-0.00737435667272579
1097,-0.006338917366633329
1098,-0.01163512535669944
1099,-0.01749482381539986
1100,-0.016377195271929032
1101,-0.013416643411159728
1102,-0.012154757306077263
1103,-0.00941312467566616
1104,-0.011899885599677069
1105,-0.012352801137969657
1106,-0.01399987026799409
1107,-0.010535462207454598
1108,-0.013714341971547276
1109,-0.014664858868043694
1110,-0.011520784441194233
1111,-0.013209739660326559
1112,-0.016468957926523985
1113,-0.015910463120184425
1114,-0.018178935564405942
1115,-0.016186944821054042
1116,-0.014087681129562313
1117,-0.010701935044914263
1118,-0.01175126885745258
1119,-0.008979133136664342
1120,-0.012940270353179231
1121,-0.014343023805689581
1122,-0.012664783688253727
1123,-0.018252480084528927
1124,-0.020953681339664017
1125,-0.019097287735693125
1126,-0.012905585871375674
1127,-0.014328712189948455
1128,-0.014995031515058809
1129,-0.012524543956166694
1130,-0.007475155332802919
1131,-0.008533446533306887
1132,-0.015910361883508493
1133,-0.01809904040403794
1134,-0.012302041493251417
1135,-0.01188005020022897
1136,-0.010454717279872896
1137,-0.01357834533256454
1138,-0.008282491331176705
1139,-0.010473790548230869
1140,-0.012416944242319865
1141,-0.007120859679863286
1142,-0.010155182225572826
1143,-0.015574841624050118
1144,-0.01578848544239488
1145,-0.015109643914032128
1146,-0.016907407860481696
1147,-0.013122785558846264
1148,-0.016446463228109765
1149,-0.01755129621047285
1150,-0.01441481767921368
